primary_description,_source_sheet,_source_row_number,Name/Desc of Feature/Bug/Idea/Wish List Item,Related Feature/Section/Category,Source Document Name: Section/Topic,High-Level Category,Source Document Name & Date: Section/Topic,Source Documen & Section/Topic,Source Document & Section/Topic/Slide,Source Document & Section,Scope,Priority,Status,Category,Source,Name/Desc,Item / Description,Source (Date/Document),Name/Description,Related Feature/Section,User/Project Management,Item / Feature / Idea / Bug,Source Context/Date,Item/Feature,Description/Status/Notes,Source Context,Feature/Bug/Idea/Wish List Item,Source Document(s)
Bulk agree option for annotation,AMI Data Management Working Gro,1,Bulk agree option for annotation,Annotation/Verification/UI,"AMI - Data Management Working Group - Meeting Notes: Jun 6, 2024 Notes (Q. Annotation)",,,,,,,,,,,,,,,,,,,,,,,
UI for faster verification,AMI Data Management Working Gro,2,UI for faster verification,Verification/User Interface,"AMI - Data Management Working Group - Meeting Notes: May 6, 2024 Timeline (Beyond)",,,,,,,,,,,,,,,,,,,,,,,
Filtering by what has been vetted,AMI Data Management Working Gro,3,Filtering by what has been vetted,Verification/Filtering,"AMI - Data Management Working Group - Meeting Notes: Nov 7, 2024 Verification process",,,,,,,,,,,,,,,,,,,,,,,
Automatically hide vetted items as user proceeds,AMI Data Management Working Gro,4,Automatically hide vetted items as user proceeds,Verification/User Interface,"AMI - Data Management Working Group - Meeting Notes: Nov 7, 2024 Verification process",,,,,,,,,,,,,,,,,,,,,,,
"Filtering by species, genus, taco level with children levels (already in place)",AMI Data Management Working Gro,5,"Filtering by species, genus, taco level with children levels (already in place)",Filtering/Data Display (Existing),"AMI - Data Management Working Group - Meeting Notes: Sep 5, 2024 Notes (Lars: Filtering)",,,,,,,,,,,,,,,,,,,,,,,
Implement date filtering,AMI Data Management Working Gro,6,Implement date filtering,Filtering,"AMI - Data Management Working Group - Meeting Notes: Sep 5, 2024 Notes (Lars: Date filtering not available yet)",,,,,,,,,,,,,,,,,,,,,,,
Determine where users can type in a species name for search/filtering,AMI Data Management Working Gro,7,Determine where users can type in a species name for search/filtering,Filtering/User Interface/Search,"AMI - Data Management Working Group - Meeting Notes: Sep 5, 2024 Notes (Lars: Where will users be able to type...)",,,,,,,,,,,,,,,,,,,,,,,
Interface for managing species,AMI Data Management Working Gro,8,Interface for managing species,Taxonomy/Species Management,"AMI - Data Management Working Group - Meeting Notes: Nov 7, 2024 Taxonomy management interface",,,,,,,,,,,,,,,,,,,,,,,
Implement Global lists vs. Project lists for species,AMI Data Management Working Gro,9,Implement Global lists vs. Project lists for species,Taxonomy/Species Management,"AMI - Data Management Working Group - Meeting Notes: Nov 7, 2024 Taxonomy management interface",,,,,,,,,,,,,,,,,,,,,,,
Mapping species from classifier output to custom lists,AMI Data Management Working Gro,10,Mapping species from classifier output to custom lists,Taxonomy/Species Management/ML Backend,"AMI - Data Management Working Group - Meeting Notes: Nov 7, 2024 Taxonomy management interface",,,,,,,,,,,,,,,,,,,,,,,
Display species lists known by each model,AMI Data Management Working Gro,11,Display species lists known by each model,Taxonomy/Species Management/ML Backend,"AMI - Data Management Working Group - Meeting Notes: Nov 7, 2024 Taxonomy management interface",,,,,,,,,,,,,,,,,,,,,,,
"Add a field to the taxa DB for unidentifiable by image alone, with relation to similar taxa",AMI Data Management Working Gro,12,"Add a field to the taxa DB for unidentifiable by image alone, with relation to similar taxa",Taxonomy/Data Management,"AMI - Data Management Working Group - Meeting Notes: Jun 6, 2024 Notes (Add field to the taxa DB...)",,,,,,,,,,,,,,,,,,,,,,,
Implement more algorithms and a better worker system,AMI Data Management Working Gro,13,Implement more algorithms and a better worker system,ML Backend/Infrastructure,"AMI - Data Management Working Group - Meeting Notes: May 6, 2024 Timeline (Beyond)",,,,,,,,,,,,,,,,,,,,,,,
Implement Optimizations for speed (MVP feature),AMI Data Management Working Gro,14,Implement Optimizations for speed (MVP feature),Performance/Infrastructure,"AMI - Data Management Working Group - Meeting Notes: May 6, 2024 Timeline (MVP features)",,,,,,,,,,,,,,,,,,,,,,,
Implement querying images for inference from ADC API and POSTing results back,AMI Data Management Working Gro,15,Implement querying images for inference from ADC API and POSTing results back,API/ML Backend/Data Processing,"AMI - Data Management Working Group - Meeting Notes: May 6, 2024 Attendee Goals (Asger)",,,,,,,,,,,,,,,,,,,,,,,
"Plan for an R package to interface the API for plots, stats, etc.",AMI Data Management Working Gro,16,"Plan for an R package to interface the API for plots, stats, etc.",API/Integration,"AMI - Data Management Working Group - Meeting Notes: May 6, 2024 Attendee Goals (Quentin)",,,,,,,,,,,,,,,,,,,,,,,
Implement connection to GBIF (MVP feature),AMI Data Management Working Gro,17,Implement connection to GBIF (MVP feature),Integration/API,"AMI - Data Management Working Group - Meeting Notes: May 6, 2024 Timeline (MVP features)",,,,,,,,,,,,,,,,,,,,,,,
Develop a Data connector app (MVP feature),AMI Data Management Working Gro,18,Develop a Data connector app (MVP feature),Data Ingestion,"AMI - Data Management Working Group - Meeting Notes: May 6, 2024 Timeline (MVP features)",,,,,,,,,,,,,,,,,,,,,,,
Collaborate on data uploader and image database,AMI Data Management Working Gro,19,Collaborate on data uploader and image database,Data Ingestion/Data Management,"AMI - Data Management Working Group - Meeting Notes: May 6, 2024 Attendee Goals (Lars)",,,,,,,,,,,,,,,,,,,,,,,
Implement same data process for acoustic recordings,AMI Data Management Working Gro,20,Implement same data process for acoustic recordings,Data Processing/New Media,"AMI - Data Management Working Group - Meeting Notes: May 6, 2024 Attendee Goals (Lars)",,,,,,,,,,,,,,,,,,,,,,,
Add processing support for project data,AMI Data Management Working Gro,21,Add processing support for project data,Data Processing,"AMI - Data Management Working Group - Meeting Notes: Aug 1, 2024 Agenda",,,,,,,,,,,,,,,,,,,,,,,
"Clarify/flesh out what ""processing"" means when a collection is launched",AMI Data Management Working Gro,22,"Clarify/flesh out what ""processing"" means when a collection is launched",Data Processing/Documentation,"AMI - Data Management Working Group - Meeting Notes: Jun 6, 2024 Notes (Collections)",,,,,,,,,,,,,,,,,,,,,,,
Clarify if collections should be defined inside or outside the job (design question),AMI Data Management Working Gro,23,Clarify if collections should be defined inside or outside the job (design question),Data Processing/Design,"AMI - Data Management Working Group - Meeting Notes: Jun 6, 2024 Notes (Collections)",,,,,,,,,,,,,,,,,,,,,,,
Define if collections are reusable (design question),AMI Data Management Working Gro,24,Define if collections are reusable (design question),Data Processing/Design,"AMI - Data Management Working Group - Meeting Notes: Jun 6, 2024 Notes (Collections)",,,,,,,,,,,,,,,,,,,,,,,
