proposed_horizon,category,description,mention_count,github_refs,status,status_notes,type,size,source_rows
now-3mo,Analytics/Viz,Confidence & Uncertainty in UI (displaying species-level accuracy),1,,untracked,No matching GitHub issues or PRs found,feature,M,806
now-3mo,Data-Management,Reworking collections - clarifying & solidifying dynamic filters vs. fixed datasets,4,#730(OPEN); PR#895(MERGED); PR#636(MERGED); #716(CLOSED); #297(CLOSED); PR#375(MERGED); PR#300(MERGED); #451(OPEN); PR#1067(MERGED); PR#283(MERGED),partial,"6 merged PR(s): #895, #636, #375; 2 open: #730, #451; 2 closed: #716, #297",improvement,L,"376, 642, 790, 831"
now-3mo,Data-Management,Data uploader (Technician),2,PR#379(MERGED); #687(OPEN); #879(OPEN); #878(OPEN); #562(OPEN); #640(CLOSED); PR#909(MERGED); #242(CLOSED); #455(OPEN); #477(OPEN),partial,"2 merged PR(s): #379, #909; 4 open: #687, #879, #878; 2 closed: #640, #242",feature,L,"150, 171"
now-3mo,Data-Management,Collaborate on data uploader and image database,1,PR#379(MERGED); #687(OPEN); #879(OPEN); #878(OPEN); #640(CLOSED); #242(CLOSED); #928(OPEN); #776(CLOSED); #562(OPEN); #900(CLOSED),partial,"1 merged PR(s): #379; 5 open: #687, #879, #878; 4 closed: #640, #242",feature,L,20
now-3mo,Data-Management,Manual image uploading from UI or background sync of large datasets,1,PR#584(MERGED); #242(CLOSED); #730(OPEN); #297(CLOSED); PR#300(MERGED); PR#1067(MERGED); PR#283(MERGED); PR#895(MERGED); #640(CLOSED); #614(CLOSED),partial,"5 merged PR(s): #584, #300, #1067; 1 open: #730; 4 closed: #242, #297",feature,L,88
now-3mo,Data-Management,Desktop data uploading tool,1,PR#379(MERGED); #687(OPEN); #879(OPEN); #878(OPEN); #242(CLOSED); #562(OPEN); #640(CLOSED); PR#909(MERGED); #455(OPEN); #789(CLOSED),partial,"2 merged PR(s): #379, #909; 4 open: #687, #879, #878; 2 closed: #242, #640",feature,L,163
now-3mo,Data-Management,Need a way to upload a bunch of images without full config,1,PR#909(MERGED); #878(OPEN); #640(CLOSED); PR#379(MERGED); #879(OPEN); #687(OPEN); #562(OPEN); #242(CLOSED); #314(CLOSED); PR#281(MERGED),partial,"2 merged PR(s): #909, #379; 4 open: #878, #879, #687; 2 closed: #640, #242",feature,M,166
now-3mo,Data-Management,Antenna Go - offline mobile companion app,1,#457(OPEN); #878(OPEN); #757(OPEN); #259(CLOSED); PR#76(MERGED); PR#79(MERGED); #808(CLOSED); #485(CLOSED); PR#201(MERGED); PR#983(MERGED),tracked,"3 open: #457, #878, #757",feature,XL,168
now-3mo,Data-Management,Easy desktop application for uploading data from machines to Antenna,1,#878(OPEN); #757(OPEN); PR#379(MERGED); #687(OPEN); #879(OPEN); #242(CLOSED); #562(OPEN); #640(CLOSED); #1078(CLOSED); PR#983(MERGED),tracked,"2 open: #878, #757",feature,L,172
now-3mo,Data-Management,Fix issues with timestamps not being recognized in the current format,1,PR#781(MERGED); #273(OPEN); PR#778(MERGED); #1107(OPEN); #398(OPEN); #233(CLOSED); #723(CLOSED); PR#644(MERGED); #462(CLOSED); PR#1105(MERGED),partial,"4 merged PR(s): #781, #778, #644; 3 open: #273, #1107, #398; 3 closed: #233, #723",bug,M,544
now-3mo,Data-Management,Sample captures only valid when image file name is in YYYYMMDDHHMMSS format,1,PR#326(MERGED); PR#187(MERGED); #1037(OPEN); #229(OPEN); PR#1036(MERGED); #585(CLOSED); PR#162(MERGED); PR#947(MERGED); PR#287(MERGED); #890(OPEN),partial,"6 merged PR(s): #326, #187, #1036; 3 open: #1037, #229, #890; 1 closed: #585",bug,S,753
now-3mo,Data-Management,Data Integrity Issues (sessions not auto-created/null in data sync view),1,#549(CLOSED); #793(OPEN); #872(CLOSED); PR#282(MERGED); PR#584(MERGED); PR#689(MERGED); PR#898(MERGED); PR#189(MERGED); #879(OPEN); PR#379(MERGED),partial,"3 merged PR(s): #282, #584, #689; 1 open: #793; 2 closed: #549, #872",bug,M,815
now-3mo,DevEx,Better db snapshots for automated and manual testing,2,#749(CLOSED); #514(OPEN); #533(CLOSED); #411(CLOSED); #253(OPEN); #708(OPEN); #414(CLOSED); PR#980(MERGED); PR#835(MERGED); #900(CLOSED),tracked,"1 open: #514; 2 closed: #749, #533",improvement,M,"359, 756"
now-3mo,DevEx,Michael onboarded Tessa to the data companion code and she has committed several enhancements,1,#834(OPEN); #317(OPEN); #1106(OPEN); PR#929(MERGED); PR#448(MERGED); PR#74(MERGED); #254(CLOSED); #260(OPEN); #336(CLOSED),tracked,1 open: #834,documentation,XS,148
now-3mo,Export/Interop,Data Exports (Yves needed for writing grant),1,,untracked,No matching GitHub items found,feature,M,147
now-3mo,Export/Interop,Exports & Downloads (Self-service feature remaining),1,,untracked,No matching GitHub items found,feature,M,483
now-3mo,Infrastructure,Processing stability/stabilization,3,#370(CLOSED); #1072(CLOSED); #782(CLOSED); PR#934(MERGED); #1117(OPEN); PR#1060(MERGED); PR#1046(MERGED); PR#554(MERGED); #633(CLOSED); #1025(OPEN),partial,"4 merged PR(s): #934, #1060, #1046; 2 open: #1117, #1025; 4 closed: #370, #1072",improvement,L,"641, 794, 836"
now-3mo,Infrastructure,Implement more algorithms and a better worker system,1,#515(OPEN); #910(OPEN); #802(CLOSED); PR#987(MERGED); #912(OPEN); #695(CLOSED); #259(CLOSED); #1011(OPEN); PR#1109(MERGED); PR#949(MERGED),tracked,1 open: #515,feature,XL,14
now-3mo,Infrastructure,Online/Offline functionality,1,#676(CLOSED); #538(OPEN); #766(OPEN),tracked,1 open: #538; 1 closed: #676,feature,XL,119
